"Asian and Middle Eastern Studies",,,,
,,"Anglo-Saxon, Norse & Celtic Part I",,"http://www.asnc.cam.ac.uk/lecturelist/lecturelist.pdf"
,,"Anglo-Saxon, Norse & Celtic Part II",,"http://www.asnc.cam.ac.uk/lecturelist/lecturelist.pdf"
,,,,
"History",,,,
,,"Historical Tripos Part I",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,"Historical Tripos Part II",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,,,
,,"MPhil in Early Modern History",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,"MPhil in Economic and Social History",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,"MPhil in Historical Studies",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,"MPhil in Modern European History",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,,,
,,"MPhil in Political Thought and Intellectual History",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,,,
,,"MPhil in Medieval History",,"http://www.hist.cam.ac.uk/undergraduate/lectures/"
,,,,
"History & Philosophy of Science",,,,
,,,,
,,"MPhil in History Phil & Sociology of Science, Technology & Medicine",,"http://www.hps.cam.ac.uk/timetable/"
,,,,
,,,,
"Land Economy",,,,
,,"Land Economy Tripos Part IA",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,"Land Economy Tripos Part IB",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,"Land Economy Tripos Part II",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,,,
,,"MPhil in Environmental Policy",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,"MPhil in Land Economy Research",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,"MPhil in Planning, Growth and Regeneration",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,"MPhil in Real Estate Finance",,"http://www.landecon.cam.ac.uk/intranet/homepage"
,,,,
"Law",,,,
,,"Law Tripos Part IA",,"http://www.law.cam.ac.uk/faculty-resources/summary/timetable-for-introductory-lecture-courses-for-2011-12/8936"
,,"Law Tripos Part IB",,"http://www.law.cam.ac.uk/faculty-resources/summary/timetable-for-introductory-lecture-courses-for-2011-12/8936"
,,"Law Tripos Part II",,"http://www.law.cam.ac.uk/faculty-resources/summary/timetable-for-introductory-lecture-courses-for-2011-12/8936"
,,,,
,,"Master of Law ",,"http://www.law.cam.ac.uk/faculty-resources/summary/timetable-for-introductory-lecture-courses-for-2011-12/8936"
,,,,
"Mathematics",,,,
,,"Mathematics Tripos Part IA",,"http://www.maths.cam.ac.uk/lecturelists/PartIAWeb.pdf"
,,"Mathematics Tripos Part IB",,"http://www.maths.cam.ac.uk/lecturelists/PartIBWeb.pdf"
,,"Mathematics Tripos Part II",,"http://www.maths.cam.ac.uk/lecturelists/PartIIWeb.pdf"
,,"Mathematics Tripos Part III",,"http://www.maths.cam.ac.uk/lecturelists/PartIIIWeb.pdf"
,,,,
,,"MPhil in Computational Biology",,"http://www.maths.cam.ac.uk/lecturelists/MPhilCompBioWeb.pdf"
,,,,
"Modern & Medieval Languages (including Linguistics)",,,,
,,"MML Part IA",,
,,,"German",
,,,"French",
,,,"Russian",
,,,"Spanish",
,,,"Italian",
,,,"Portuguese",
,,"MML Part IB","German",
,,,"French",
,,,"Russian",
,,,"Spanish",
,,,"Italian",
,,,"Portuguese",
,,,"Linguistics","#See-separate-Linguistics-Tripos-Part-I"
,,,"Neo Latin",
,,,"Comparative Studies",
,,,"Dutch",
,,,"Modern Greek",
,,,"Ukrainian",
,,"MML Part II","German",
,,,"French",
,,,"Russian",
,,,"Spanish",
,,,"Italian",
,,,"Portuguese",
,,,"Linguistics","#See-separate-Linguistics-Tripos-Part-IIA"
,,,"Comparative Studies",
,,,"Modern Greek",
,,,"Ukrainian",
,,,"Neo Latin",
,,"Certificate for Humanities Computing for Languages",,"http://www-chucol.mml.cam.ac.uk/"
,,"MPhil in European Literature and Culture",,"http://www.mml.cam.ac.uk/gradstudies/lectures&seminars.html"
,,"MPhil in Russian Studies",,"http://www.mml.cam.ac.uk/gradstudies/lectures&seminars.html"
